CustomerID,FirstName,LastName,PhoneNumber,Email,Age,Town,County,Region,SignupDate,CustomerSegment,MarketingOptIn
C00001,Joseph,Ali,+254733778884,joseph.ali1@gmail.com,21.0,Nakuru,Nakuru,Rift Valley,2025-01-03,Loyal,Y 
C00002,Cherono,Nyaga,0768 450 818,cherono.nyaga2@gmail.com,18.0,Migori,Migori,Nyanza,2024-07-06,Loyal,Yes
C00003,Habiba,Odhiambo,254790441258,habiba.odhiambo3@outlook.com,37.0,Murang'a,Murang'a,Central,2024-05-14,Regular,y
C00004,John,Nyambura,0701363377 ,john.nyambura4@gmail.com,37.0,Kericho,Kericho,Rift Valley,2023-03-23,Regular,No
C00005,Collins,Otieno,0733321875,collins.otieno5@gmail.com,18.0,Kakamega,Kakamega,Western,2023-04-04,Regular, No
C00006,Cherono,Kiptoo,+254790900164,cherono.kiptoo6@outlook.com,34.0,Bungoma,Bungoma,Western,2023-01-01,Regular, No
C00007,George,Onyango,0759 301 164,george.onyango7@gmail.com,18.0,Ukunda,Kwale,Coast,2023-10-04,Regular,Yes
C00008,Achieng,Auma,254701545073,achieng.auma8@gmail.com,41.0,Ol Kalou,Nyandarua,Central,2023-12-04,New,No
C00009,Moraa,Njoroge,0710709168 ,moraa.njoroge9@outlook.com,29.0,Narok,Narok,Rift Valley,2024-12-11,Regular,yes
C00010,Amina,Ali,0733591299,amina.ali10@gmail.com,44.0,Kericho,Kericho,Rift Valley,2024-05-07,New,No
C00011,Wairimu,Kariuki,+254110635684,wairimu.kariuki11@gmail.com,22.0,Murang'a,Murang'a,Central,2024-09-28,New,Yes
C00012,Abdi,Mohamed,0733 156 208,abdi.mohamed12@outlook.com,18.0,Murang'a,Murang'a,Central,2022-11-15,Regular,No
C00013,Faith,Muriithi,254722362118,faith.muriithi13@gmail.com,31.0,Nakuru,Nakuru,Rift Valley,2023-05-05,Regular,Yes
C00014,Naliaka,Abdullahi,0759667911 ,naliaka.abdullahi14@gmail.com,53.0,Narok,Narok,Rift Valley,2025-02-24,New,Yes
C00015,Faith,Mutua,0700676913,faith.mutua15@outlook.com,26.0,Ol Kalou,Nyandarua,Central,2023-02-02,New,No
C00016,Naliaka,Rono,+254759738609,naliaka.rono16@gmail.com,31.0,Kericho,Kericho,Rift Valley,2023-05-15,New,Yes
C00017,Nyokabi,Chebet,0759 353 360,nyokabi.chebet17@gmail.com,22.0,Murang'a,Murang'a,Central,2024-09-25,Regular,no
C00018,Michael,Sang,254745790921,michael.sang18@outlook.com,18.0,Kisumu,Kisumu,Nyanza,2024-11-09,Loyal,Yes
C00019,Faith,Barasa,0700445142 ,faith.barasa19@gmail.com,,Machakos,Machakos,Eastern,2023-07-23,Regular,No
C00020,Daniel,Barasa,0759222142,daniel.barasa20@gmail.com,28.0,Kericho,Kericho,Rift Valley,2023-10-08,New,Yes
C00021,Faith,Kimani,+254700460483,faith.kimani21@outlook.com,26.0,Ol Kalou,Nyandarua,Central,2025-06-04,New,yes
C00022,Amina,Gitau,0733 113 565,amina.gitau22@gmail.com,37.0,Thika,Kiambu,Nairobi Metro,2025-01-07,Regular,Yes
C00023,Wairimu,Kiptoo,254759232429,wairimu.kiptoo23@gmail.com,18.0,Nyeri,Nyeri,Central,2024-10-27,New,Yes
C00024,Stephen,Kiptoo,0745835160 ,stephen.kiptoo24@outlook.com,25.0,Nakuru,Nakuru,Rift Valley,2023-09-04,New,No
C00025,Muthoni,Onyango,0700984533,muthoni.onyango25@gmail.com,35.0,Busia,Busia,Western,2024-05-18,New,n
C00026,Akinyi,Achieng,+254700292448,akinyi.achieng26@gmail.com,,Busia,Busia,Western,2025-05-14,VIP,Yes
C00027,Hassan,Gitau,0710 712 203,hassan.gitau27@outlook.com,18.0,Kilifi,Kilifi,Coast,2023-02-14,New,no
C00028,Wambui,Onyango,254759650731,wambui.onyango28@gmail.com,46.0,Machakos,Machakos,Eastern,2023-05-04,Regular,Yes
C00029,Victor,Mwenda,0722443411 ,victor.mwenda29@gmail.com,50.0,Ruiru,Kiambu,Nairobi Metro,2025-05-23,Regular,Yes
C00030,Habiba,Muriithi,0759751712,habiba.muriithi30@outlook.com,37.0,Kakamega,Kakamega,Western,2023-05-30,Regular,n
C00031,Faith,Kones,+254790476397,faith.kones31@gmail.com,24.0,Meru,Meru,Eastern,2024-09-09,Regular,Yes
C00032,Kerubo,Auma,0701 373 525,kerubo.auma32@gmail.com,37.0,Thika,Kiambu,Nairobi Metro,2022-12-19,Regular,Yes
C00033,Mercy,Maina,254768267439,mercy.maina33@outlook.com,18.0,Kericho,Kericho,Rift Valley,2025-03-14,Regular,Yes
C00034,Wanjiku,Kariuki,0733808269 ,wanjiku.kariuki34@gmail.com,28.0,Nakuru,Nakuru,Rift Valley,2022-04-29,New, No
C00035,Naliaka,Wanjiru,0790783264,naliaka.wanjiru35@gmail.com,29.0,Westlands,Nairobi,Nairobi Metro,2024-06-11,New,Yes
C00036,Peter,Mutua,+254768732164,peter.mutua36@outlook.com,41.0,Meru,Meru,Eastern,2024-07-20,New,Yes
C00037,Paul,Barasa,0733 235 962,paul.barasa37@gmail.com,40.0,Machakos,Machakos,Eastern,2023-11-02,New,Yes
C00038,Nyokabi  ,Cherono,254733346830,nyokabi.cherono38@gmail.com,41.0,Ol Kalou,Nyandarua,Central,2022-09-11,Loyal,Yes
C00039,Adhiambo,Njuguna,0733929623 ,adhiambo.njuguna39@outlook.com,54.0,Bungoma,Bungoma,Western,2024-03-28,Regular,No
C00040,Collins,Kones,0701672106,collins.kones40@gmail.com,32.0,Ukunda,Kwale,Coast,2025-05-03,Loyal,No
C00041,James,Mutua,+254701393199,james.mutua41@gmail.com,30.0,Ruiru,Kiambu,Nairobi Metro,2024-06-26,Regular,No
C00042,Achieng  ,Mohamed,0768 284 264,achieng.mohamed42@outlook.com,36.0,Embu,embu,Eastern,2022-10-25,Loyal,Yes
C00043,Kerubo,Wekesa,254768640785,kerubo.wekesa43@gmail.com,38.0,Westlands,Nairobi,Nairobi Metro,2025-01-22,Regular,Yes
C00044,Chebet,Rono,0759297554 ,chebet.rono44@gmail.com,45.0,Ukunda,Kwale,Coast,2024-12-19,New,Yes
C00045,Peter,Kimani,0722901538,peter.kimani45@outlook.com,25.0,Murang'a,Murang'a,Central,2023-08-29,New,YES
C00046,Grace,Wafula,+254745615022,grace.wafula46@gmail.com,29.0,Meru,Meru,Eastern,2022-04-11,Regular,Yes
C00047,Kerubo,Njoroge,0745 413 481,kerubo.njoroge47@gmail.com,26.0,Ol Kalou,Nyandarua,Central,2025-02-24,Regular,y
C00048,Wambui,Muriithi,254733878779,wambui.muriithi48@outlook.com,33.0,Westlands,Nairobi,Nairobi Metro,2023-08-07,Loyal,Yes
C00049,Felix,Kimani,0700444750 ,felix.kimani49@gmail.com,22.0,Mombasa,Mombasa,Coast,2023-04-25,Loyal,No
C00050,Amina,Maina,0759522600,amina.maina50@gmail.com,18.0,Kilifi,Kilifi,Coast,2023-07-12,Regular,Yes
